,PO Sl.No,DESCRIPTION,Qty,Qty Ad1,Qty Ad2,Qty Ad3,Unit,Rate,Amount(CLP),EDP1 anticipo F. 70,EDP2 F. 71,EDP3 F.72,EDP04 F. 73-74,EDP5 F. 78,EDP6 F. 83,EDP7 F. 84,EDP8  F. 90,EDP 08B,EDP9 F. 86,EDP10,EDP11 F. 98,EDP12 F. 92,EDP13 F. 99,EDP14 F. 105,EDP15 F. 106,Cumilative,Balance/Short Close,HH Boom Truck
0,10,"Installation, testing and commissioning of String combiner box (19inputs) with wireless monitoring","220,0","108,0",,,nos,59.520,13.094.400,,,,,"130,0","62,0","28,0","76,0",,,,,"32,0",,,,3280.0,"0,0",0.0
1,20,"Installation, testing and commissioning of Loose MC4 Male & Female connector for String termination on SCB & Module end.","8.360,0",,"8.360,0",,st,531,4.439.160,,,,,,"6.632,0","1.728,0",,,,,"1.158,0",,,"2.391,0",,11.909,"4.811,0",0.0
2,30,"Installation, testing and commissioning of TBEA inverter","10,0",,"10,0",,st,2.295.705,22.957.050,,,,,,,"10,0",,,,,"10,0",,,,,200.0,"0,0",0.0
3,40,"Installation, testing and commissioning 8.25 MVA-ONAN Transformer","5,0",,"5,0",,NOS,2.418.000,12.090.000,,,,,,"1,5",,"3,0",,,,,"0,5",,,,50.0,"5,0",0.0
4,50,"Installation, testing and commissioning 4.125 MVA-ONAN Transformer","1,0",,,,nos,2.418.000,2.418.000,,,,,,,,,,,,,,,,,0.0,"1,0",0.0
5,60,"Installation, testing and commissioning 10 kVA-ONAN Transformer","3,0","2,0",,,NOS,1.041.600,3.124.800,,,,,,,,,,,,,"5,0",,,,50.0,"0,0",0.0
6,70,RMU # 1 breaker and 1 Isolator,"3,0","6,0",,,NOS,2.292.450,6.877.350,,,,,"3,0",,,"3,0",,,,,"3,0",,,,90.0,"0,0",2.0
7,80,RMU # 1 breaker and 2 Isolator,"3,0","6,0",,,NOS,2.292.450,6.877.350,,,,,"3,0",,,"3,0",,,,,"3,0",,,,90.0,"0,0",2.0
8,90,UPS (1X100%) 2kVA with Main + Bypass & S,"5,0","7,0",,,st,678.900,3.394.500,,,,,,,"4,0",,,,,,"8,0",,,,120.0,"0,0",0.0
9,100,LT Distribution Board for inverter stati Inverter Station Building,"5,0","7,0",,,NOS,176.700,883.500,,,,,,,"4,0",,,,,,"8,0",,,,120.0,"0,0",0.0
10,110,UPS Distribution Boards for Inverter Station,"5,0","7,0",,,NOS,176.700,883.500,,,,,,,"4,0",,,,,,"8,0",,,,120.0,"0,0",0.0
11,120,SCADA's PLC Panel for Inverter Sation,"5,0","9,0",,,NOS,176.700,883.500,,,,,,,"4,0",,,"10,0",,,,,,,140.0,"0,0",0.0
12,130,Tracker SCADA's PLC Panel for Inverter Sation,"5,0",,,,nos,176.700,883.500,,,,,,,,,,,,,,,,,0.0,"5,0",0.0
13,140,MCCB box for Auxiliary transformer,"3,0","9,0",,,nos,176.700,530.100,,,,,,,"2,0",,,,,,"5,0",,,,70.0,"5,0",0.0
14,150,4sqmm cable jumper with 1000mm length wi,"2.638,0","1.454,0",,,nos,533,1.406.054,,,,,,"1.380,0","1.258,0",,,,,,"1.454,0",,,,4.092,"0,0",0.0
15,160,1.5kV 1Cx4 sq.mm String Cable,"220.000,0","22.554,0","220.000,0",,mtr,434,95.480.000,,,"14.656,0","58.110,0","77.364,0","69.870,0",,"22.554,0",,,,"38.200,0",,,"53.290,0",,334.044,"128.510,0",0.0
16,170,Cable Ties Installation testing and commissioning,"1,0",,,,lt,14.880.000,14.880.000,,,,,"0,4","0,2","0,2",,,,,,,,,,8.0,"0,2",0.0
17,180,Supply and installation of Cable Ties,"1,0",,,,ST,6.417.000,6.417.000,,,,,"0,4","0,2","0,2",,,,,,,,,,8.0,"0,2",0.0
18,190,Cable (1Cx400sq mm) from String Combiner,"97.500,0",,,,mtr,1.185,115.537.500,,"29.587,0","39.452,0","25.707,0",,,,,,,,,,,,,94.746,"2.754,0",0.0
19,200,"Cable termination of 1.8/3.0kV 400Sqmm Al Cable,","880,0",,,,nos,2.325,2.046.000,,,,,,"432,0","232,0",,,"216,0",,,,,,,8800.0,"0,0",0.0
20,210,Cable from Inverter to Inverter Transfor,"3.964,0","2.516,0",,,mtr,1.185,4.697.340,,,,,,,"3.888,0",,,,,,"2.592,0",,,,6.48,"0,0",0.0
21,220,Supply & Installation of Trefoil Clamps,"667,0",,,,nos,1.185,790.395,,,,,,,,,,,,,"600,0",,,,6000.0,"67,0",0.0
22,230,Cable termination of above cable at inverter end.,"257,0",,"257,0",,nos,3.366,865.062,,,,,,,,,,"243,0",,"162,0",,,,,4050.0,"109,0",0.0
23,240,Cable termination of above cable at transformer end,"257,0",,"257,0",,nos,3.366,865.062,,,,,,,,,,"243,0",,"162,0",,,,,4050.0,"109,0",0.0
24,250,Cable from Inverter Transformer to Ring Main Unit (RMU),"360,0",,,,mtr,1.293,465.480,,,,,,,,,,,,,,,,,0.0,"360,0",0.0
25,260,Supply and installation of Trefoil Clamps for above 1Cx240 sq.mm. MV Cable (Trefoil Clamps details need to approved from SWSL),"66,0",,,,nos,1.237,81.642,,,,,,,,,,,,,,,,,0.0,"66,0",0.0
26,270,4C X 4 Sqmm Cu. (XLPE PVC) for power tr,"250,0",,,,MTR,949,237.250,,,,,,,,,,,,,,,,,0.0,"250,0",0.0
27,280,4C X 35 Sqmm Cu. (XLPE PVC),"1.125,0",,,,mtr,1.208,1.359.000,,,,,,,,,,,,,,,,,0.0,"1.125,0",0.0
28,290,4C X 70 Sq.mm Al XLPE Aux Cable,"500,0",,,,mtr,2.415,1.207.500,,,,,,,,,,,,,,,,,0.0,"500,0",0.0
29,300,1C X 6 Sq.mm CU Flexible Aux Cable,"63,0",,,,mtr,949,59.787,,,,,,,,,,,,,,,,,0.0,"63,0",0.0
30,310,4 C X 70Sqmm Al. Cable,"5,0",,,,nos,5.525,27.625,,,,,,,,,,,,,,,,,0.0,"5,0",0.0
31,320,4 C X 6 Sqmm Cu. Cable,"30,0",,,,nos,1.727,51.810,,,,,,,,,,,,,,,,,0.0,"30,0",0.0
